"estado","cidade","regiao","total_imoveis"
"sp","sao bernardo do campo","vila alcantara","2"
"rs","contagem","sta cruz ind","2"
"sp","sao bernardo do campo","vila cruzeiro","2"
"sp","campinas","jardim sao gabriel","2"
"sp","guarulhos","vila santa maria","2"
"sp","sao bernardo do campo","parque dos passaros","2"
"sp","sao paulo","chacara santo antonio zona sul","2"
"sp","campinas","jardim miranda","2"
"mg","belo horizonte","monte azul","2"
"sp","sao bernardo do campo","parque espacial","2"
"sp","campinas","jardim myrian moreira da costa","2"
"sp","campinas","residencial parque da fazenda","2"
"mg","belo horizonte","coqueiros","2"
"mg","belo horizonte","pedro ii","2"
"sp","sao bernardo do campo","jardim silvina","2"
"rs","porto alegre","santa rosa de lima","2"
"mg","belo horizonte","sao pedro","2"
"sp","campinas","cidade satelite iris","2"
"mg","belo horizonte","nova granada","2"
"sp","sao bernardo do campo","jardim portugal","2"
"sp","sao paulo","chacara inglesa","2"
"sp","osasco","condominio amazonas","2"
"sp","guarulhos","vila silveira","2"
"mg","contagem","pedra azul","2"
"sp","guarulhos","jardim tijuco","2"
"sp","sao paulo","jardim sapopemba","2"
"mg","belo horizonte","nova floresta","2"
"sp","osasco","jaguare","2"
"mg","belo horizonte","sao sebastiao","2"
"mg","belo horizonte","conjunto california","2"
"sp","campinas","vila rica","2"
"rs","sao leopoldo","morro do espelho","2"
"sp","sao paulo","jardim sao sebastiao","2"
"sp","sao paulo","vila santana","2"
"sp","campinas","vila rossi borghi e siqueira","2"
"mg","belo horizonte","pampulha","2"
"sp","sao paulo","parque jabaquara","2"
"rs","contagem","darcy vargas","2"
"sp","campinas","jardim eulina","2"
"mg","belo horizonte","novo gloria","2"
"mg","belo horizonte","hawai justinopolis","2"
"rj","niteroi","fatima","2"
"sp","sao paulo","vila medeiros","2"
"sp","campinas","vila guararapes","2"
"sp","sao paulo","vila nova mazzei","2"
"sp","sao paulo","jardim jau zona leste","2"
"sp","sao paulo","jardim independencia sao paulo","2"
"sp","sao paulo","brooklin paulista","2"
"sp","campinas","jd maria eugenia","2"
"sp","campinas","v p manoel nobrega","2"
"sp","campinas","vila joaquim inacio","2"
"rs","sao leopoldo","jardim america","2"
"sp","campinas","parque ipiranga","2"
"sp","sao bernardo do campo","alto industrial","2"
"sp","campinas","vila georgina","2"
"sp","sao paulo","jardim botucatu","2"
"mg","belo horizonte","barroca","2"
"mg","belo horizonte","heliopolis","2"
"rs","porto alegre","passo das pedras","2"
"rj","rio de janeiro","parada de lucas","2"
"rj","rio de janeiro","taquara jacarepagua","2"
"sp","sao paulo","jardim norma","2"
"sp","sao paulo","campos eliseos","2"
"sp","sao bernardo do campo","jardim farina","2"
"rs","contagem","nascentes imperiais","2"
"rs","contagem","bairro empresarial do mandu","2"
"sp","sao bernardo do campo","parque selecta","2"
"sp","guarulhos","jardim santa cecilia","2"
"rs","contagem","milanez","2"
"sp","guarulhos","jardim sao luiz","2"
"sp","sao paulo","vila gomes cardim","2"
"sp","guarulhos","jardim ipanema","2"
"rj","rio de janeiro","centro","2"
"rs","porto alegre","sao joao","2"
"sp","sao paulo","conjunto habitacional padre manoel de paiva","2"
"sp","campinas","parque camboriu","2"
"rs","contagem"," sapucaias iii ","2"
"rs","porto alegre","vila joao pessoa","2"
"mg","belo horizonte","floresta","2"
"rs","sao leopoldo","loteamento parque recreio","2"
"mg","belo horizonte","serra verde","2"
"rs","contagem","jardim laguna","2"
"rj","rio de janeiro","rio comprido","2"
"sp","campinas","guarani","2"
"sp","sao bernardo do campo","chacara sergipe","2"
"sp","campinas","jardim baroneza","2"
"sp","campinas","vila brandina","2"
"sp","sao paulo","moema","2"
"sp","campinas","jardim amoreiras","2"
"sp","sao bernardo do campo","vila luiz casa","2"
"sp","campinas","vila faustina ii","2"
"rj","sao goncalo","rocha","2"
"sp","sao paulo","fazenda morumbi","2"
"sp","guarulhos","jardim ema","2"
"sp","sao bernardo do campo","vila santa cassia","2"
"rs","porto alegre","jardim botanico","2"
"rs","contagem","parque riacho das pedras 2a secao","2"
"sp","campinas","parque res. vila uniao","2"
"sp","guarulhos","morros","2"
"sp","sao paulo","vila nova conceicao","2"
"sp","sao bernardo do campo","vila arapua","2"
"mg","belo horizonte","joao pinheiro","2"
"sp","sao bernardo do campo","vila dusi","2"
"rj","rio de janeiro","agua santa","2"
