"regiao","tipo","num_anuncios","preco_medio"
"parque terra nova","apartamento","4","345000.00"
"parque terra nova","casa","2","890000.00"
"parque xangri-la","apartamento","4","317500.00"
"parque xangri-la","casa","6","307666.67"
"partenon","apartamento","33","239757.58"
"partenon","casa","4","450000.00"
"passo das pedras","casa","2","269900.00"
"patria nova","apartamento","10","311000.00"
"patria nova","casa","4","556500.00"
"pauliceia","apartamento","8","283750.00"
"pechincha","apartamento","47","234744.68"
"pechincha","casa","12","334166.67"
"pedra azul","casa","4","290000.00"
"pedra redonda","casa","2","390000.00"
"pedro ii","apartamento","2","780000.00"
"pendotiba","apartamento","8","290000.00"
"penha","casa","2","230000.00"
"penha de franca","apartamento","4","300000.00"
"pe pequeno","apartamento","2","385000.00"
"pestana","casa","6","636666.67"
"petropolis","apartamento","12","340804.33"
"picaco","apartamento","2","575000.00"
"picanco","apartamento","6","518000.00"
"picanco","casa","2","380000.00"
"piedade","apartamento","8","190000.00"
"piedade","casa","4","285000.00"
"pinheiro","apartamento","12","175833.33"
"pinheiro","casa","2","680000.00"
"piratininga","apartamento","10","400000.00"
"piratininga","casa","20","580300.00"
"piratininga","studio","2","190000.00"
"planalto","apartamento","35","383542.86"
"planalto","casa","6","547333.33"
"planalto paulista","apartamento","2","780000.00"
"ponte grande","apartamento","4","475000.00"
"ponte preta","apartamento","8","348750.00"
"prado","apartamento","4","245000.00"
"praia de belas","apartamento","10","202400.00"
"presidente altino","apartamento","6","364633.33"
"presidente altino","casa","2","775000.00"
"primavera","apartamento","6","261666.67"
"protasio alves","apartamento","8","227000.00"
"protasio alves","casa","2","240000.00"
"quarta parada","apartamento","4","512500.00"
"quinta da paineira","apartamento","4","795000.00"
"quintino bocaiuva","apartamento","2","180000.00"
"quintino bocaiuva","casa","6","185975.33"
"quitauna","apartamento","10","370000.00"
"quitauna","casa","6","456666.67"
"recreio dos bandeirantes","apartamento","4","400000.00"
"renascenca","apartamento","4","482500.00"
"republica","apartamento","2","270000.00"
"republica","casa","2","315900.00"
"residencial parque da fazenda","apartamento","2","390000.00"
"ressaca","casa","2","530000.00"
"riacho das pedras","apartamento","6","208333.33"
"riacho das pedras","casa","2","310000.00"
"riachuelo","apartamento","2","180000.00"
"rincao","casa","4","372500.00"
"rio branco","apartamento","30","286800.00"
